Title,Authors,URL,DOI,Published Date,Relevance,Summary,Themes
Semi-supervised Salient Object Detection with Effective Confidence Estimation,"Jiawei Liu, Jing Zhang, Nick Barnes",https://www.semanticscholar.org/paper/bb6b34fb76a4c66be56971b5d5ecc73f0df5866d,,2021,High,"The success of existing salient object detection models relies on a large pixel-wise labeled training dataset, which is time-consuming and expensive to obtain. We study semi-supervised salient object detection, with access to a small number of labeled samples and a large number of unlabeled samples. Specifically, we present a pseudo label based learn-ing framework with a Conditional Energy-based Model. We model the stochastic nature of human saliency labels using the stochastic latent variable of the Conditional Energy-based Model. It further enables generation of a high-quality pixel-wise uncertainty map, highlighting the reliability of corresponding pseudo label generated for the unlabeled sample. This minimises the contribution of low-certainty pseudo labels in optimising the model, preventing the error propagation. Experimental results show that the proposed strategy can effectively explore the contribution of unlabeled data. With only 1/16 labeled samples, our model achieves competitive performance compared with state-of-the-art fully-supervised models.",confidence estimation; semi-supervised SOD
Salient Object Detection via Dynamic Scale Routing,"Zhenyu Wu, Shuai Li, Chenglizhao Chen, Hong Qin, A. Hao",https://arxiv.org/pdf/2210.13821,10.1109/TIP.2022.3214332,2022,High,"Recent research advances in salient object detection (SOD) could largely be attributed to ever-stronger multi-scale feature representation empowered by the deep learning technologies. The existing SOD deep models extract multi-scale features via the off-the-shelf encoders and combine them smartly via various delicate decoders. However, the kernel sizes in this commonly-used thread are usually “fixed”. In our new experiments, we have observed that kernels of small size are preferable in scenarios containing tiny salient objects. In contrast, large kernel sizes could perform better for images with large salient objects. Inspired by this observation, we advocate the “dynamic” scale routing (as a brand-new idea) in this paper. It will result in a generic plug-in that could directly fit the existing feature backbone. This paper’s key technical innovations are two-fold. First, instead of using the vanilla convolution with fixed kernel sizes for the encoder design, we propose the dynamic pyramid convolution (DPConv), which dynamically selects the best-suited kernel sizes w.r.t. the given input. Second, we provide a self-adaptive bidirectional decoder design to accommodate the DPConv-based encoder best. The most significant highlight is its capability of routing between feature scales and their dynamic collection, making the inference process scale-aware. As a result, this paper continues to enhance the current SOTA performance. Both the code and dataset are publicly available at https://github.com/wuzhenyubuaa/DPNet.",dynamic routing; multi-scale features
Dynamic Selection Network For Rgb-D Salient Object Detection,"Jinlin Zhou, Zhiming Luo, Shaozi Li",https://www.semanticscholar.org/paper/b689c7583d6e890f20035c6b5360099720769088,10.1109/ICIP46576.2022.9897821,2022,High,"Existing RGB-D salient object detection (SOD) methods usually use elaborate fusion modules for exploring cross-modal information, which is computationally expensive and ignores the noise depth information. To deal with this issue, we propose a dynamic selection network (DSNet) for RGB-D salient object detection. Specifically, a cross-modal combination module (CCM) is proposed to fuse two modalities with a light computation. Then a dynamic selection module (DSM) adaptively learns the model parameter for the decoding based on the fused features. Furthermore, skip connection is used for hierarchical features combination between encoder and decoder. Experiments on four popular datasets demonstrate our model outperforms other state-of-the-art methods.",dynamic selection; RGB-D fusion
Learning Modality Complementarity for RGB-D Salient Object Detection via Dynamic Neural Network,"Yuanhao Li, Jia Song, Chenglizhao Chen, Xinyu Liu",https://www.mdpi.com/2079-9292/15/7/1361/pdf?version=1774429258,10.3390/electronics15071361,2026,High,"RGB-D salient object detection (RGB-D SOD) aims to accurately localize and segment visually salient objects by jointly leveraging RGB images and depth maps. Some existing methods rely on static fusion strategies with fixed paths and weights, which treat all regions equally and fail to capture the varying importance of different regions and modalities. Although some attention-based methods alleviate the limitations of static fusion by assigning adaptive weights to different regions and modalities, the quality of RGB and depth data may degrade in real-world scenarios due to sensor noise, illumination changes, or environmental interference. These attention-based methods often overlook inter-modality quality differences and complementarity, making them prone to over-relying on a certain modality, which can lead to noise introduction, feature conflicts, and performance degradation. To address these limitations, this paper proposes a novel dynamic feature routing and fusion framework for RGB-D SOD, which adaptively adjusts the fusion strategy according to the quality of input modalities. To enable modality quality awareness, the proposed method characterizes the modality complementarity between RGB and depth features in a task-driven manner inspired by information-theoretic principles. We introduce a task-relevance scoring function which is integrated with a mutual information estimator to quantify such complementarity, and emphasizes task-relevant features while suppressing redundancy. A dynamic routing module is then designed to perform feature selection guided by the captured complementarity. In addition, we propose a novel cross-modal fusion module to adaptively fuse the features selected by the dynamic routing module, which effectively enhances complementary representations while suppressing redundant features and noise interference. Extensive experiments conducted on seven public RGB-D SOD benchmark datasets demonstrate that the proposed method consistently achieves competitive performance, outperforming existing methods by an average of approximately 1% across multiple evaluation metrics. Notably, in challenging scenarios with severe modality quality degradation, the proposed method outperforms existing best-performing methods by up to 1.8%, demonstrating strong robustness against cluttered backgrounds, complex object structures, and diverse object scales. Overall, the proposed dynamic fusion framework provides a novel solution to modality quality imbalance in RGB-D salient object detection.",dynamic neural network; modality routing
Dynamic Message Propagation Network for RGB-D Salient Object Detection,"Baian Chen, Zhile Chen, Xiaowei Hu, Jun Xu, Haoran Xie, Mingqiang Wei, J. Qin",https://arxiv.org/pdf/2206.09552,10.48550/arXiv.2206.09552,2022,Medium,"This paper presents a novel deep neural network framework for RGB-D salient object detection by controlling the message passing between the RGB images and depth maps on the feature level and exploring the long-range semantic contexts and geometric information on both RGB and depth features to infer salient objects. To achieve this, we formulate a dynamic message propagation (DMP) module with the graph neural networks and deformable convolutions to dynamically learn the context information and to automatically predict filter weights and affinity matrices for message propagation control. We further embed this module into a Siamese-based network to process the RGB image and depth map respectively and design a multi-level feature fusion (MFF) module to explore the cross-level information between the refined RGB and depth features. Compared with 17 state-of-the-art methods on six benchmark datasets for RGB-D salient object detection, experimental results show that our method outperforms all the others, both quantitatively and visually.",dynamic message routing; RGB-D fusion
Boosting RGB-D salient object detection with adaptively cooperative dynamic fusion network,"Jinchao Zhu, Xiaoyu Zhang, Xian Fang, Muhammad Rameez Ur Rahman, Feng Dong, Yuehua Li, Siyu Yan, Panlong Tan",https://www.semanticscholar.org/paper/773979be010980317ffe89e71807a486278113f8,10.1016/j.knosys.2022.109205,2022,Medium,"The suitable employment of RGB and depth data shows great significance in promoting the development of computer vision tasks and robot-environment interactions. However, there are different advantages and disadvantages in the early and late fusion of the two types of data. In addition, due to the diversity of the object information, using a single type of data in a specific scenario results in being semantically misleading. Based on the above considerations, we propose a transformer-based adaptively cooperative dynamic fusion network (ACDNet) with a dynamic composite structure (DCS) for salient object detection. This structure is designed to flexibly utilize the advantages of feature fusion in different stages. Second, an adaptively cooperative semantic guidance (ACG) scheme is designed to suppress inaccurate features in multilevel multimodal feature fusion. Furthermore, we proposed a perceptual aggregation module (PAM) to optimize the network from the perspectives of spatial perception and scale perception, which strengthens the network's ability to perceive multiscale objects. Extensive experiments conducted on 8 RGB-D SOD datasets illustrate that the proposed network outperforms 24 state-of-the-art algorithms.",adaptive fusion; dynamic fusion
Heterogeneous Experts and Hierarchical Perception for Underwater Salient Object Detection,"Mingfeng Zha, Guoqing Wang, Yunqiang Pei, Tianyu Li, Xiongxin Tang, Chongyi Li, Yang Yang, Heng Tao Shen",https://www.semanticscholar.org/paper/617bb7b4818d97b7fa319ef6196311297d6abad2,10.1109/TIP.2025.3572760,2025,Medium,"Existing underwater salient object detection (USOD) methods design fusion strategies to integrate multimodal information, but lack exploration of modal characteristics. To address this, we separately leverage the RGB and depth branches to learn disentangled representations, formulating the heterogeneous experts and hierarchical perception network (HEHP). Specifically, to reduce modal discrepancies, we propose the hierarchical prototype guided interaction (HPI), which achieves fine-grained alignment guided by the semantic prototypes, and then refines with complementary modalities. We further design the mixture of frequency experts (MoFE), where experts focus on modeling high- and low-frequency respectively, collaborating to explicitly obtain hierarchical representations. To efficiently integrate diverse spatial and frequency information, we formulate the four-way fusion experts (FFE), which dynamically selects optimal experts for fusion while being sensitive to scale and orientation. Since depth maps with poor quality inevitably introduce noises, we design the uncertainty injection (UI) to explore high uncertainty regions by establishing pixel-level probability distributions. We further formulate the holistic prototype contrastive (HPC) loss based on semantics and patches to learn compact and general representations across modalities and images. Finally, we employ varying supervision based on branch distinctions to implicitly construct difference modeling. Extensive experiments on two USOD datasets and four relevant underwater scene benchmarks validate the effect of the proposed method, surpassing state-of-the-art binary detection models. Impressive results on seven natural scene benchmarks further demonstrate the scalability.",heterogeneous experts; hierarchical perception
Taming Cascaded Mixture-of-Experts for Modality-missing Multi-modal Salient Object Detection,"Kunpeng Wang, Feifan Sun, Keke Chen",https://ojs.aaai.org/index.php/AAAI/article/download/37959/41921,10.1609/aaai.v40i12.37959,2026,High,"Multi-modal Salient Object Detection (SOD) shows an improvement over its uni-modal counterpart by exploiting the complementary benefits between modalities. However, this improvement relies on complete multi-modal information, which is difficult to be guaranteed in practice due to sensor failures and transmission errors. To address this issue, we propose a robust multi-modal SOD framework that enhances the adaptability to modality-missing conditions, while maintaining comparable performance in the modality-complete condition. Nevertheless, flexibly handling modality-missing and modality-complete cases and integrating their corresponding multi-modal features in a unified framework is non-trivial. To this end, we achieve this framework by designing a Cascaded Mixture-of-Experts (CMoE) network that sequentially incorporates missing-aware and multi-modal MoE. Specifically, the missing-aware MoE employs three modality-reconstruction experts with a soft router to adaptively reconstruct feature representations for both missing and available modalities, assisted by an expert modulation loss that guides the router to assign expert weights according to missing conditions. The multi-modal MoE adopts two homogeneous uni-modal experts with learned modality-specific knowledge tailored for integrating modality features, which are dynamically combined via the soft router. The cascaded architecture fully empowers CMoE with the flexibility across varying input cases. Extensive experiments on modality-missing and modality-complete conditions demonstrate the effectiveness of the proposed method.",mixture of experts; cascaded routing; missing modalities
Extracting Uncertainty Estimates from Mixtures of Experts for Semantic Segmentation,"Svetlana Pavlitska, Beyza Keskin, Alwin Fassbender, Christian Hubschneider, J. M. Zöllner",https://www.semanticscholar.org/paper/2211b1f025ed0504e093971f3d957efaec92f452,10.1109/ICCVW69036.2025.00038,2025,High,"Estimating accurate and well-calibrated predictive uncertainty is important for enhancing the reliability of computer vision models, especially in safety-critical applications like traffic scene perception. While ensemble methods are commonly used to quantify uncertainty by combining multiple models, a mixture of experts (MoE) offers an efficient alternative by leveraging a gating network to dynamically weight expert predictions based on the input. Building on the promising use of MoEs for semantic segmentation in our previous works, we show that well-calibrated predictive uncertainty estimates can be extracted from MoEs without architectural modifications. We investigate three methods to extract predictive uncertainty estimates: predictive entropy, mutual information, and expert variance. We evaluate these methods for an MoE with two experts trained on a semantical split of the A2D2 dataset. Our results show that MoEs yield more reliable uncertainty estimates than ensembles in terms of conditional correctness metries under out-of-distribution (OOD) data. Additionally, we evaluate routing uncertainty computed via gate entropy and find that simple gating mechanisms lead to better calibration of routing uncertainty estimates than more complex classwise gates. Finally, our experiments on the Cityscapes dataset suggest that increasing the number of experts can further enhance uncertainty calibration. Our code is available at https://github.com/KASTEL-MobilityLab/mixtures-of-experts/.",mixture of experts; uncertainty estimation; calibration
Deep Mixture Density Network for Probabilistic Object Detection,"Yihui He, Jianren Wang",https://arxiv.org/pdf/1911.10614,10.1109/IROS45743.2020.9340882,2019,Medium,"Mistakes/uncertainties in object detection could lead to catastrophes when deploying robots in the real world. In this paper, we measure the uncertainties of object localization to minimize this kind of risk. Uncertainties emerge upon challenging cases like occlusion. The bounding box borders of an occluded object can have multiple plausible configurations. We propose a deep multivariate mixture of Gaussians model for probabilistic object detection. The covariances help to learn the relationship between the borders, and the mixture components potentially learn different configurations of an occluded part. Quantitatively, our model improves the AP of the baselines by 3.9% and 1.4% on CrowdHuman and MS-COCO respectively with almost no computational or memory overhead. Qualitatively, our model enjoys explainability since the resulting covariance matrices and the mixture components help measure uncertainties.",mixture density; probabilistic decoder; uncertainty
Leveraging Uncertainties for Deep Multi-modal Object Detection in Autonomous Driving,"Di Feng, Yifan Cao, Lars Rosenbaum, Fabian Timm, K. Dietmayer",https://arxiv.org/pdf/2002.00216,10.1109/IV47402.2020.9304551,2020,Medium,"This work presents a probabilistic deep neural network that combines LiDAR point clouds and RGB camera images for robust, accurate 3D object detection. We explicitly model uncertainties in the classification and regression tasks, and leverage uncertainties to train the fusion network via a sampling mechanism. We validate our method on three datasets with challenging real-world driving scenarios. Experimental results show that the predicted uncertainties reflect complex environmental uncertainty like difficulties of a human expert to label objects. The results also show that our method consistently improves the Average Precision by up to 7% compared to the baseline method. When sensors are temporally misaligned, the sampling method improves the Average Precision by up to 20%, showing its high robustness against noisy sensor inputs.",uncertainty-guided fusion; multimodal detection
A Multimodal Hierarchical Variational Autoencoder for Saliency Detection,"Zhengyang Yu, Jing Zhang, Nick Barnes",https://www.semanticscholar.org/paper/faa7d41637743dff70fa2a582b670b70f6f3e28f,10.1109/IJCNN54540.2023.10191461,2023,Medium,"Existing multimodal Salient Object Detection (SOD) methods do not generalize well for more complex and scalable multimodal learning scenarios. In this paper, we propose a multimodal hierarchical variational auto-encoder for generalized multimodal SOD. By introducing joint inference factorization methods in multimodal VAEs, our model is scalable to partially missing modality data. A latent hierarchy is proposed which enhances expressiveness in latent space and allows multi-level interaction between features across modalities. By further exploring the latent hierarchy, we provide intuitive uncertainty visualizations and observe that the main source of uncertainty in SOD derives from the lower-level features. Based on this, we propose a simple yet effective sampling-based confidence estimation method, that brings robustness when encountering untrustworthy modality data for inference. Extensive experimental analysis illustrate that our model can satisfy crucial properties that make a desirable multimodal SOD framework.",variational modeling; multimodal saliency
A novel decoder based on Bayesian rules for task-driven object segmentation,"Yuxiang Cai, Yuanlong Yu, Weijie Jiang, Rong Chen, Weitao Zheng, Xi Wu, Renjie Su",https://www.semanticscholar.org/paper/f7eb61c3f6ea197bd112635f47f2df6f17f6e159,10.1049/ipr2.12676,2022,Medium,"Abstract As a challenging problem in computer vision, salient object segmentation has attracted increasing attention in recent years. Though a lot of works based on encoder–decoder have been made, these methods can only recognize and segment one class of objects, but cannot segment the other classes of objects in the same image. To address this issue, this paper proposes a novel decoder based on Bayesian rules to perform task‐driven object segmentation, in which a control signal is added to the decoder to determine which class of objects need to be segmented. What's more, a Bayesian rule is established in the decoder, in which the control signal is set as the prior, and the latent features learned in encoder is transferred to the corresponding layer of decoder as observation, thus the posterior probability of each object with respect to the specific‐class can be calculated, and the objects belonging to this class can be segmented. This proposed method is evaluated for task‐driven salient object segmentation on several benchmark datasets, including MS COCO, DUT‐OMRON, ECSSD etc. Experimental results show that the approach tends to segment accurate, detailed, and complete objects, and improves the performance compared with the previous state‐of‐the‐art.",Bayesian decoder; task-driven segmentation
Self-explanatory Deep Salient Object Detection,"Huaxin Xiao, Jiashi Feng, Yunchao Wei, Maojun Zhang",https://www.semanticscholar.org/paper/7cb163ef696afaefc67f90ed33649827736a976a,,2017,Medium,"Salient object detection has seen remarkable progress driven by deep learning techniques. However, most of deep learning based salient object detection methods are black-box in nature and lacking in interpretability. This paper proposes the first self-explanatory saliency detection network that explicitly exploits low- and high-level features for salient object detection. We demonstrate that such supportive clues not only significantly enhances performance of salient object detection but also gives better justified detection results. More specifically, we develop a multi-stage saliency encoder to extract multi-scale features which contain both low- and high-level saliency context. Dense short- and long-range connections are introduced to reuse these features iteratively. Benefiting from the direct access to low- and high-level features, the proposed saliency encoder can not only model the object context but also preserve the boundary. Furthermore, a self-explanatory generator is proposed to interpret how the proposed saliency encoder or other deep saliency models making decisions. The generator simulates the absence of interesting features by preventing these features from contributing to the saliency classifier and estimates the corresponding saliency prediction without these features. A comparison function, saliency explanation, is defined to measure the prediction changes between deep saliency models and corresponding generator. Through visualizing the differences, we can interpret the capability of different deep neural networks based saliency detection models and demonstrate that our proposed model indeed uses more reasonable structure for salient object detection. Extensive experiments on five popular benchmark datasets and the visualized saliency explanation demonstrate that the proposed method provides new state-of-the-art.",explainability; confidence interpretation
